12052641,"Aptiv","Metri-Pack",150,2,1,0.0,"Female",180,"Black","Sealed",-40,125,26,23,18.6,"cavity lock",1.5,"[12048074]","15324973, 12059168",,,"['12052634']","['15433700', '15496109', '15496133', '15496164', '15496165']","https://productdata.aptiv.com/api/assetstorage/2949_2217899b-a1a6-474a-95ac-393df7a5252f","https://productdata.aptiv.com/api/assetstorage/2949_ed7842f9-b1bb-4ad8-b973-c22e12201b16"
12052644,"Aptiv","Metri-Pack",150,2,1,0.0,"female",180,"gray","sealed",-40,125,26,23,18.6,"cavity lock",1.5,"['12048074']","['15324973', '12059168']",,,"['12052634']","['12162343', '12162688']","https://productdata.aptiv.com/api/assetstorage/2949_6f883da5-0a88-4996-8570-e9de1c741ff2","https://productdata.aptiv.com/api/assetstorage/2949_ebcdb5a9-ac3c-463a-8bd7-5a597f934257"
12052643,"Aptiv","Metri-Pack",150,2,1,0.0,"female",180,"red","sealed",-40,125,26,23,18.6,"cavity lock",1.5,"['12048074']","['15324973', '12059168']",,,"['12052634']","['13531089']","https://productdata.aptiv.com/api/assetstorage/2949_b0f85ab4-d90a-453e-b68b-eade969f906c","https://productdata.aptiv.com/api/assetstorage/2949_9b39fe4c-c940-4c00-b9c4-3f0ae9b5a484"
12077900,"Aptiv","generic",280,2,1,0.0,"female",180,"black","sealed",0,0,30.5,26,20.7,"cavity lock",2.8,"['12077411']","['12010300', '15324982']",,"['12052834']","['12077904']",,"https://productdata.aptiv.com/api/assetstorage/2949_c43e55a3-9ad4-46cb-8828-2e2511774a6b","https://productdata.aptiv.com/api/assetstorage/2949_1b998349-9901-468b-bef6-90590c6ddd5a"
12186568,"Aptiv","Metri-Pack",150,4,1,0.0,"female",180,"black","sealed",-40,125,26,35,19,"cavity lock",1.5,"['12048074']","['15324976', '12059168']",,,"['12186271']","['12186271']","https://productdata.aptiv.com/api/assetstorage/2949_d4f183cf-0dbf-4338-b6f2-03177e88cd97","https://productdata.aptiv.com/api/assetstorage/2949_3cf59fb5-57f3-45dd-91b5-5e276c2dd74c"
13519051,"Aptiv","GT",150,5,1,0.0,"female",180,"black","sealed",-40,125,31.5,37.2,23.1,"locking lance",1.5,"['12191818']","['15305171', '15366021']",,"['15317832']","['15418547']","['15326827', '13519053']","https://productdata.aptiv.com/api/assetstorage/2949_a26e7989-beb7-44f1-aaab-d07b2618b2fe","https://productdata.aptiv.com/api/assetstorage/2949_a64508ff-26ff-4b0f-bb7a-493ba2e87916"
15326423,"Aptiv","Metri-Pack",150,4,2,0.0,"male",180,"gray","sealed",-40,125,47.5,25.5,28.4,"cavity lock",1.5,"['12077628']","['12059168', '15324976']",,,"['12160826']",,"https://productdata.aptiv.com/api/assetstorage/2949_f941ffc2-5448-4ea1-b42e-f56846879929","https://productdata.aptiv.com/api/assetstorage/2949_0f867287-88e4-4dae-b85c-7408d44d040d"
15326808,"Aptiv","GT",150,3,1,0.0,"female",180,"black","sealed",-40,125,31.5,23.7,23.1,"locking lance",1.5,"['12191818']","['15305171', '15366021']",,"['15317832']","['15418545']",,"https://productdata.aptiv.com/api/assetstorage/2949_3caf4ce4-055e-4930-a391-a979b74bb5b4","https://productdata.aptiv.com/api/assetstorage/2949_cea2212c-73cf-4504-a0b9-911d31be8147"
15335987,"Aptiv","GT",150,2,1,0.0,"female",180,"black","sealed",-40,125,32.6,21.3,22.2,"locking lance",1.5,"['15326266']","['15305171', '12191229']",,"['15317832']","['15305024']",,"https://productdata.aptiv.com/api/assetstorage/2949_798ca566-e08b-4d2f-a779-751f53266e14","https://productdata.aptiv.com/api/assetstorage/2949_98987bcb-5d84-43be-af7f-cad71d0a9628"
15336004,"Aptiv","GT",150,2,1,0.0,"female",180,"black","sealed",-40,125,25.9,21.3,22.2,"locking lance",1.5,"['15326266']","['15305171', '12191229']",,"['15317832']","['15305024']",,"https://productdata.aptiv.com/api/assetstorage/2949_eae87bbe-e34d-4547-adbb-8c3539fa31ef","https://productdata.aptiv.com/api/assetstorage/2949_648f960c-73af-488d-b194-241d56f87695"
15355297,"Aptiv","GT",150,6,2,0.0,"female",180,"black","sealed",-40,125,29.3,28.2,28.38,"locking lance",1.5,"['15326426']","['12198198', '15366021']",,"['15317832']",,,"https://productdata.aptiv.com/api/assetstorage/2949_7b271ba6-a267-4cf1-b712-052cc20ce3b8","https://productdata.aptiv.com/api/assetstorage/2949_d5a0dfa5-5e29-4e36-bfe4-0006c1ea9aa7"
15356722,"Aptiv",,,,,,,,,,,0,0,,,,,,,,,,,,
15393432,"Aptiv",,,,,,,,,,,,,,,,,,,,,,,,
15449028,"Aptiv","GT",150,2,1,0.0,"female",180,"black","sealed",-40,125,30.65,17.04,14.6,"locking lance",1.5,"['15326266']","['15305171', '15366022']",,,"['15305024']","['13543639', '15355503', '15336553']","https://productdata.aptiv.com/api/assetstorage/2949_cfb29496-3135-4ce4-ba12-3d51cf522c4f","https://productdata.aptiv.com/api/assetstorage/2949_f7ea2b6b-9c0b-4369-9c04-557185557c19"
15466325,"Aptiv","GT",150,4,1,0.0,"female",180,"black","sealed",-40,125,28.6,32.66,23.13,"locking lance",1.5,"['12191818']","['15305171', '15366021']",,"['15317832']","['15418546']","['13723322']","https://productdata.aptiv.com/api/assetstorage/2949_01a24d45-09bd-41e4-94e2-60437d6498b2","https://productdata.aptiv.com/api/assetstorage/2949_e9aa2efc-2616-412d-a420-99e199c1f7d4"
15474881,"Aptiv",,,,,,,,,,,,,,,,,,,,,,,,
15477863,"Aptiv","GT",150,3,2,0.0,"female",180,"black","sealed",-40,125,27.2,15.1,23.7,"locking lance",1.5,"['154713370']","['15305171', '15305351']",,,"['13511587']",,"https://productdata.aptiv.com/api/assetstorage/2949_e7976dea-7859-4c4c-9ce5-f1decb609109","https://productdata.aptiv.com/api/assetstorage/2949_246fac69-023e-4d56-85cf-1991319deda6"
"1 928 403 698","Bosch","Kompakt 1.a",0.0,2,1,5,"female",180,"black","sealed",-40,150,26.2,20,30.4,"locking lance",2.8,"['927766-3', '929937-3', '929939-3', '927772-3', '927770-3', '929941-3']","['828922-2', '828905-1', '828904-1']","['1 928 300 530', '1 928 300 528', '1 928 300 694']",,"['1 928 403 422', '1 928 404 886']",,"https://bosch-connectors.com/medias/1928403698.jpg?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8NDE3MDV8aW1hZ2UvanBlZ3xhREF5TDJoaE9TODRPREU0TkRNM05EZzROamN3THpFNU1qZzBNRE0yT1RndWFuQm58MzI2NTg5YjllMGE2ZGM4NDA4ZTFjMmQyMTQ2N2U1MGExODAzODcyZTNjMTJmZjAyOGJmMTRiZDc5MmZlZDAyNQ",
"1 928 403 874","Bosch","Kompakt 1.1a",0.0,2,1,5,"female",180,"black","sealed",-40,150,26.2,20,30.4,"locking lance",2.8,"['1 928 498 056', '1 928 498 057']","['1 928 300 601', '1 928 300 600', '1 928 300 599']","['1 928 300 530', '1 928 300 528', '1 928 300 694']",,"['1 928 403 422', '1 928 404 886']",,"https://bosch-connectors.com/medias/1928403874.jpg?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8NDE3MDV8aW1hZ2UvanBlZ3xhR1kxTDJnNFpDODRPREU0TkRNNU1UVTVPRE00THpFNU1qZzBNRE00TnpRdWFuQm58YjRmZTA2MzcwMGVjNDNmNTJkMGE4YmU2ZDYxMmU0YTYzZGFjMGNkODU4ZGQxN2RjMjU4ZTYyZWI4NDVlYmY1NA",
"1 928 403 966","Bosch","Kompakt 1.1a",0.0,3,1,5,"female",180,"black","sealed",-40,150,31.2,20,30.4,"locking lance",2.8,"['1 928 498 056', '1 928 498 057']","['1 928 300 601', '1 928 300 600', '1 928 300 599']","['1 928 300 531', '1 928 300 529', '1 928 300 694']",,"['1 928 403 423', '1 928 404 887']",,"https://bosch-connectors.com/medias/1928404900.JPG?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8NTU4Njd8aW1hZ2UvanBlZ3xhRFF3TDJnek5TODRPREU0TkRRek1qZzROakEyTHpFNU1qZzBNRFE1TURBdVNsQkh8NTZjM2FiNWE5ODg3ZmEyMGVkNzNlNzc5ODExZjEzMDgxYWJjMmNlNWM0N2E5MjNhYWRiNGNhOWRmYTUzMDcwNA",
"1 928 404 900","Bosch","BAK",,6,2,4,"female",180,"black","sealed",-40,150,25.1,25.6,34.6,"locking lance",1.5,"['1241380-1']","['1 928 300 601', '1 928 300 600', '1 928 300 599']",,,,,"https://bosch-connectors.com/medias/1928403874.jpg?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8NDE3MDV8aW1hZ2UvanBlZ3xhR1kxTDJnNFpDODRPREU0TkRNNU1UVTVPRE00THpFNU1qZzBNRE00TnpRdWFuQm58YjRmZTA2MzcwMGVjNDNmNTJkMGE4YmU2ZDYxMmU0YTYzZGFjMGNkODU4ZGQxN2RjMjU4ZTYyZWI4NDVlYmY1NA",
"1 928 403 736","Bosch","Kompakt 1.1m",,4,1,5,"female",180,"black","sealed",-40,150,36,22.8,30.4,"locking lance",2.8,"['1 928 498 056', '1 928 498 057']","['1 928 300 601', '1 928 300 600', '1 928 300 599']","['1 928 300 531', '1 928 300 529']",,,,"https://bosch-connectors.com/medias/1928403736.jpg?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8NTA0NzJ8aW1hZ2UvanBlZ3xhRGRrTDJobU1TODRPREU0TkRNNE16QTNPRGN3THpFNU1qZzBNRE0zTXpZdWFuQm58MDA4YmRkMzQ1NzA1YTU3ZmY3MjZhYmFkMzk1MGUzMWY2ODcwZGJhNmI4NzA4NGZhYmJkNTIxN2I1YzM5MmUwZA",
"1 928 402 571","Bosch","Jetronic",,2,1,0.0,"female",180,"black","sealed",-40,130,24,25.4,34,"locking lance",2.8,"['927766-3', '929937-3', '929939-3', '927772-3', '927770-3', '929941-3']","['828922-2', '828905-1', '828904-1']","['1 280 703 031', '1 280 703 033', '1 280 703 021', '1 280 703 026']",,,,"https://bosch-connectors.com/medias/1928402571.jpg?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8MzY3MTB8aW1hZ2UvanBlZ3xhRFF6TDJneVlpODRPREU0TkRNMU5ESTBNamcyTHpFNU1qZzBNREkxTnpFdWFuQm58ZWQxMGVlYmFkMjRkNWJlZmRlZWEyN2U4YWQ3ZmUzOTVlYzUyZTZmYzJhMTc0MmEzNmY0ODZhN2JkNzFmNzBhOQ",
"1 928 404 916","Bosch","154P-E EMS",,58,,0.0,"female",90,"black","sealed",-40,125,83.4,41.8,50.05,"locking lance","1.2, 2.8","['1 928 498 679', '1 928 498 680', '1 928 498 681', '1 928 498 057', '1 928 498 056']","['1 928 300 601', '1 928 300 600', '1 928 300 599', '1 928 300 936', '1 928 300 934']","1 928 404 917",,"['1 928 404 761', '1 928 404 760']",,"https://bosch-connectors.com/medias/1928404916.jpg?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8NjYzMjh8aW1hZ2UvanBlZ3xhR1V4TDJnNFpDODRPREU0TkRReU56azNNRGcyTHpFNU1qZzBNRFE1TVRZdWFuQm58N2UxZmExODk5MTQ4ZmY2OGE2Mzc1ZGZkNzU5NDRkOTYwMTA0ZmI3ZjI3YjgzNGJjYmYyODJkN2M4N2IzZjc2Zg",
"1 928 404 781","Bosch","154P-E EMS",,96,,0.0,"female",270,"black","sealed",-40,125,122.5,41.8,36.9,"locking lance",1.2,"['1 928 498 679', '1 928 498 680', '1 928 498 681']","['1 928 300 936', '1 928 300 934', '1 928 300 935']","['1 928 404 773']",,"['1 928 404 762']",,"https://bosch-connectors.com/medias/1928404781.jpg?context=bWFzdGVyfHBzY29ubmVjdG9ycy1wdWJsaWN8NzE0MDB8aW1hZ2UvanBlZ3xhR1F4TDJobU5DODRPREU0TkRReE9EUTJPREUwTHpFNU1qZzBNRFEzT0RFdWFuQm58NmVhNThiODEyODdjZDE2MjZlOTQxZDQ2MTJjNmE0ODhhMDUwNDI5MTAyNDcwOTUzMjJkYjMxZmJjMjkzNjU5Mw",
"7283-8496-30","Yazaki","1.5/9.5",,4,3,0.0,"female",180,"black","sealed",0,0,0,0,0,"locking lance","1.5, 9.5","['7116-4102-02', '7116-4103-02', '7116-3250', '7116-3251', '7116-3252']","['7158-3030-50', '7158-3031-90', '7158-3033-40', '7158-3034-50', '7158-3035', '7158-3036-70']",,,,,"https://nexelec.com/cdn/shop/files/7283-8496-30__30153.1591391261.1280.1280.png?v=1736127324&width=675","https://www.mouser.com/catalog/specsheets/Yazaki_7283-8497-90-R_2815512.pdf"
"7283-1057-30","Yazaki","090II",,5,1,0.0,"female",180,"black","sealed",0,0,0,0,0,"locking lance",3,,,,,,,"https://www.mouser.com/images/yazaki/images/7283105730_SPL.jpg","https://www.mouser.com/datasheet/3/3739/1/7283-1057R_612688.pdf"
"7223-1324-60","Yazaki",90,,2,1,0.0,"female",180,"green","sealed",0,0,0,0,0,"locking lance",2.3,,,,,,,"https://www.connectorid.com/cdn/shop/products/100016A_Wondershare_Wondershare_545x545.jpg?v=1698403279","https://www.mouser.com/datasheet/3/3739/1/7223-1324-R_1398223.pdf"
"1355628-2","TE",,,47,3,0.0,"female",180,"black","sealed",0,0,0,0,0,"locking lance","1.5, 2.3",,,,,,,"",""